acceptance_status;acceptance_statuscode;acceptance_timestamp;acceptance_retrycount;interactionmode;createdon;identificationmethod;identity_issuingcountry_code;identity_idcloudanalysis_errormessage;nationality_name
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:04:37.953;1.0;NonInteractive;21/12/2020 10:47;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:46:37.147;1.0;NonInteractive;11/02/2021 08:57;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-11-24 15:45:59.533;1.0;NonInteractive;24/11/2020 15:44;ITSME;;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:28:52.373;1.0;NonInteractive;28/01/2021 10:02;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:31:28.387;1.0;NonInteractive;29/01/2021 15:14;PROFILE_API_TEST;;0;
Approved;;2020-07-27 05:53:44.680;;;27/07/2020 05:53;ITSME;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:49:35.723;1.0;NonInteractive;07/12/2020 11:53;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:42:43.247;1.0;NonInteractive;26/11/2020 14:04;PROFILE_API_TEST;;0;
Approved;;2020-09-09 15:44:19.590;1.0;;09/09/2020 15:43;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-12-15 11:33:36.397;1.0;NonInteractive;15/12/2020 11:28;DOCUMENT;UKR;0;Ukraine
Approved;IdentityVerificationSucceeded;2020-12-17 12:54:14.243;1.0;NonInteractive;17/12/2020 12:53;ITSME;;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-03-07 14:36:00.813;1.0;NonInteractive;07/03/2021 14:24;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:06:14.763;1.0;NonInteractive;22/12/2020 09:30;PROFILE_API_TEST;;0;
Approved;;2020-09-09 12:13:26.453;1.0;;09/09/2020 12:12;DOCUMENT;UKR;0;Ukraine
Approved;IdentityVerificationSucceeded;2020-11-08 12:16:29.753;1.0;;08/11/2020 12:15;ITSME;;0;Belgium
Approved;IdentityVerificationSucceeded;2020-10-28 10:05:14.160;1.0;;28/10/2020 10:03;;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:04:31.070;1.0;NonInteractive;21/12/2020 10:42;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-11-06 15:35:13.917;1.0;;06/11/2020 15:34;;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:58:59.750;1.0;NonInteractive;16/12/2020 09:57;PROFILE_API_TEST;;0;
Approved;;2020-08-26 07:59:22.600;1.0;;26/08/2020 07:57;ITSME;;0;Belgium
Rejected;UnknownIdentificationMethod;2020-10-08 16:12:17.537;1.0;;08/10/2020 16:06;PROFILE_API_TEST;;0;
Rejected;UnknownIdentificationMethod;2020-10-12 09:31:04.720;1.0;;12/10/2020 09:29;PROFILE_API_TEST;;0;
Approved;;2020-08-19 09:22:16.967;;;19/08/2020 09:21;ITSME;;0;Belgium
Rejected;ManualReviewFailedRetry;2020-10-27 13:08:02.207;1.0;;27/10/2020 13:05;DOCUMENT;BEL;0;Belgium
Approved;IdentityVerificationSucceeded;2021-02-02 15:21:14.477;1.0;NonInteractive;02/02/2021 14:41;ITSME;;0;Belgium
Approved;IdentityVerificationSucceeded;2020-11-10 08:23:40.027;1.0;;10/11/2020 08:22;EID;BEL;0;Belgium
Rejected;ManualReviewFailedRetry;2020-10-26 12:59:02.290;1.0;;26/10/2020 12:55;DOCUMENT;BEL;0;Belgium
Rejected;UnknownIdentificationMethod;2020-11-05 12:38:05.810;1.0;;05/11/2020 12:37;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:20:50.737;1.0;NonInteractive;18/01/2021 16:19;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:36:31.430;1.0;NonInteractive;03/02/2021 09:46;PROFILE_API_TEST;;0;
Approved;;2020-07-28 08:34:57.827;;;28/07/2020 08:32;DOCUMENT;UKR;0;Ukraine
Rejected;UnknownIdentificationMethod;2020-10-20 18:50:10.577;1.0;;20/10/2020 18:31;PROFILE_API_TEST;;0;
Rejected;MaxAllowedRetries;2020-12-15 16:27:49.763;3.0;Interactive;15/12/2020 16:16;DOCUMENT;CZE;0;Ukraine
Rejected;UnknownIdentificationMethod;2020-09-29 14:18:55.330;1.0;;29/09/2020 14:18;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-12-28 10:43:06.420;1.0;NonInteractive;28/12/2020 10:35;DOCUMENT;UKR;0;Ukraine
Approved;;2020-07-24 10:42:17.737;;;24/07/2020 10:41;ITSME;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:02:07.353;1.0;NonInteractive;18/12/2020 08:57;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-12-15 09:41:00.730;1.0;Interactive;15/12/2020 09:27;DOCUMENT;;1;
Approved;;2020-08-14 14:56:47.270;;;14/08/2020 14:53;DOCUMENT;UKR;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:42:35.237;1.0;NonInteractive;26/11/2020 13:28;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 09:00:43.997;1.0;;07/10/2020 15:01;DOCUMENT;BEL;0;Belgium
Rejected;UnknownIdentificationMethod;2020-11-03 08:36:29.797;1.0;;03/11/2020 08:34;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-01-26 09:19:00.497;1.0;Interactive;26/01/2021 09:03;DOCUMENT;UKR;1;
Rejected;UnknownIdentificationMethod;2020-10-07 15:07:49.417;1.0;;07/10/2020 15:02;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:01:19.657;1.0;NonInteractive;17/12/2020 15:52;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:04:51.643;1.0;NonInteractive;21/12/2020 11:17;PROFILE_API_TEST;;0;
Rejected;ManualReviewFailedReject;2021-02-01 14:09:02.200;1.0;Interactive;01/02/2021 14:05;DOCUMENT;UKR;1;
Rejected;UnknownIdentificationMethod;2020-09-15 14:08:42.813;1.0;;15/09/2020 14:08;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-12-14 11:05:55.073;1.0;NonInteractive;14/12/2020 11:04;EID;BEL;0;Belgium
Approved;IdentityVerificationSucceeded;2021-01-06 18:39:05.173;1.0;NonInteractive;06/01/2021 18:38;ITSME;;0;Belgium
Approved;IdentityVerificationSucceeded;2020-11-25 11:59:54.533;1.0;NonInteractive;25/11/2020 11:59;ITSME;;0;Belgium
Approved;IdentityVerificationSucceeded;2020-11-13 16:44:22.270;1.0;;13/11/2020 16:40;EID;BEL;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:38:11.183;1.0;NonInteractive;08/02/2021 09:46;PROFILE_API_TEST;;0;
Rejected;UnknownIdentificationMethod;2020-11-05 08:56:58.427;1.0;;05/11/2020 08:54;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-26 20:31:00.347;1.0;NonInteractive;26/02/2021 20:20;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:39:22.300;1.0;;17/11/2020 15:50;DOCUMENT;;0;
Approved;IdentityVerificationSucceeded;2021-02-05 14:32:50.497;1.0;NonInteractive;05/02/2021 14:32;ITSME;;0;Belgium
Rejected;UnknownIdentificationMethod;2020-10-21 08:55:58.810;1.0;;21/10/2020 08:42;PROFILE_API_TEST;;0;
Rejected;UnknownIdentificationMethod;2020-11-07 20:18:25.723;1.0;;07/11/2020 20:17;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-11-16 14:21:46.797;1.0;;16/11/2020 14:21;ITSME;;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:30:00.210;1.0;NonInteractive;29/01/2021 06:57;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:38:06.377;1.0;;13/11/2020 15:43;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:37:29.430;1.0;;12/11/2020 09:14;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:40:14.993;1.0;;20/11/2020 08:26;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2021-02-11 11:40:37.200;1.0;Interactive;11/02/2021 11:40;ITSME;;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-03-01 15:44:00.387;1.0;NonInteractive;01/03/2021 15:26;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-10-02 12:27:02.910;1.0;;02/10/2020 12:26;EID;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:49:29.063;1.0;NonInteractive;07/12/2020 11:21;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:53:58.450;1.0;NonInteractive;10/12/2020 14:04;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2021-02-01 11:12:06.550;1.0;NonInteractive;01/02/2021 11:11;ITSME;;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:40:49.707;1.0;;23/11/2020 12:07;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:55:17.740;1.0;NonInteractive;11/12/2020 12:21;PROFILE_API_TEST;;0;
Rejected;UnknownIdentificationMethod;2020-11-03 11:34:47.920;1.0;;03/11/2020 11:33;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:43:25.060;;;11/08/2020 10:13;DOCUMENT;UKR;0;Ukraine
Approved;IdentityVerificationSucceeded;2020-11-11 13:49:46.340;1.0;;11/11/2020 13:48;;;0;
Rejected;UnknownIdentificationMethod;2020-10-26 08:58:37.030;1.0;;26/10/2020 08:58;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-10-22 14:16:32.753;1.0;;22/10/2020 14:14;DOCUMENT;BEL;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:40:04.937;1.0;NonInteractive;08/02/2021 16:35;PROFILE_API_TEST;;0;
Approved;;2020-07-20 13:48:35.263;;;20/07/2020 13:47;ITSME;;0;
Rejected;RejectedDueToInactivityTimeout;2021-03-01 13:31:00.577;1.0;NonInteractive;01/03/2021 13:19;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-01-12 11:49:00.507;1.0;NonInteractive;12/01/2021 11:36;DOCUMENT;BEL;0;India
Rejected;UnknownIdentificationMethod;2020-10-26 14:03:59.400;1.0;;26/10/2020 14:02;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-11-09 16:25:23.530;1.0;;09/11/2020 16:14;DOCUMENT;UKR;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:13:48.573;1.0;NonInteractive;08/01/2021 16:14;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-25 09:06:00.270;1.0;Interactive;25/11/2020 08:42;DOCUMENT;CZE;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2020-11-23 09:29:25.293;1.0;;10/11/2020 08:09;DOCUMENT;BEL;0;India
Rejected;UnknownIdentificationMethod;2020-11-09 08:21:59.530;1.0;;09/11/2020 08:20;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:16:04.657;1.0;NonInteractive;13/01/2021 09:39;PROFILE_API_TEST;;0;
Rejected;ManualReviewFailedRetry;2020-09-09 16:48:06.710;1.0;;09/09/2020 16:45;DOCUMENT;;1;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:43:44.593;1.0;NonInteractive;10/02/2021 12:45;PROFILE_API_TEST;;0;
Rejected;ManualReviewFailedRetry;2020-09-27 06:58:02.377;1.0;;27/09/2020 06:53;DOCUMENT;;1;
Approved;;2020-07-29 11:01:26.150;;;29/07/2020 10:06;DOCUMENT;UKR;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:44:22.807;1.0;NonInteractive;10/02/2021 14:05;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-09-28 09:14:46.687;1.0;;28/09/2020 09:12;DOCUMENT;DEU;0;Germany
Approved;IdentityVerificationSucceeded;2020-10-22 10:01:22.980;1.0;;22/10/2020 10:00;;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:08:22.627;1.0;NonInteractive;23/12/2020 09:40;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:02:41.250;1.0;NonInteractive;18/12/2020 12:35;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:54:50.407;1.0;;25/09/2020 14:02;DOCUMENT;UKR;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:53:32.927;1.0;NonInteractive;18/02/2021 14:58;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 09:00:55.557;1.0;;08/10/2020 08:35;DOCUMENT;DEU;0;Germany
Approved;IdentityVerificationSucceeded;2020-12-14 11:37:36.933;1.0;NonInteractive;14/12/2020 11:37;EID;BEL;0;Belgium
Rejected;UnknownIdentificationMethod;2020-10-14 08:53:57.760;1.0;;14/10/2020 08:49;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-09-29 10:25:26.037;1.0;;29/09/2020 10:19;DOCUMENT;BEL;0;India
Approved;IdentityVerificationSucceeded;2021-01-12 11:47:29.797;1.0;NonInteractive;12/01/2021 11:44;DOCUMENT;BEL;0;Belgium
Rejected;UnknownIdentificationMethod;2020-11-11 16:03:37.783;1.0;;11/11/2020 16:01;;;0;
Approved;IdentityVerificationSucceeded;2020-12-10 15:33:07.207;1.0;NonInteractive;10/12/2020 15:32;ITSME;;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-01-20 15:58:00.730;1.0;NonInteractive;20/01/2021 15:44;DOCUMENT;;0;
Approved;IdentityVerificationSucceeded;2020-12-28 13:31:59.787;1.0;NonInteractive;28/12/2020 13:31;EID;BEL;0;Belgium
Rejected;UnknownIdentificationMethod;2020-10-01 13:51:58.410;1.0;;01/10/2020 13:44;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-11-23 12:26:06.843;1.0;;23/11/2020 12:13;DOCUMENT;BEL;0;Belgium
Approved;IdentityVerificationSucceeded;2020-10-23 11:37:25.500;1.0;;23/10/2020 11:35;ITSME;;0;
Rejected;UnknownIdentificationMethod;2020-10-24 09:52:28.637;1.0;;24/10/2020 09:50;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-12-02 13:12:02.470;1.0;NonInteractive;02/12/2020 13:10;ITSME;;0;Belgium
Rejected;MaxAllowedRetries;2020-10-26 18:53:13.873;3.0;;26/10/2020 18:51;DOCUMENT;MAR;0;Turkmenistan
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:46:47.047;1.0;NonInteractive;11/02/2021 09:50;PROFILE_API_TEST;;0;
Rejected;UnknownIdentificationMethod;2020-10-27 10:31:34.387;1.0;;27/10/2020 10:30;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2021-01-05 09:49:20.627;1.0;NonInteractive;05/01/2021 09:48;ITSME;;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:21:29.157;1.0;NonInteractive;19/01/2021 09:04;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:38:38.897;1.0;;16/11/2020 13:58;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:16:45.420;1.0;NonInteractive;13/01/2021 14:10;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 09:33:37.700;1.0;;11/11/2020 13:35;DOCUMENT;BEL;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:41:11.797;;;04/08/2020 10:54;DOCUMENT;;1;
Rejected;ManualReviewFailedReject;2020-09-29 03:56:03.467;1.0;;28/09/2020 15:24;DOCUMENT;;1;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:51:51.493;1.0;;11/09/2020 12:07;DOCUMENT;;1;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:31:10.333;1.0;NonInteractive;29/01/2021 14:27;PROFILE_API_TEST;;0;
Rejected;UnknownIdentificationMethod;2020-11-05 14:54:51.610;1.0;;05/11/2020 14:40;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:41:26.290;;;04/08/2020 12:42;DOCUMENT;UKR;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2020-11-23 09:16:54.873;1.0;;27/10/2020 13:19;DOCUMENT;FRA;0;France
Rejected;UnknownIdentificationMethod;2020-11-03 11:28:58.397;1.0;;03/11/2020 11:27;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-11-17 09:10:56.817;1.0;;17/11/2020 09:00;ITSME;;0;Belgium
Rejected;RejectedDueToUserInactivity;2021-02-11 18:01:02.030;1.0;NonInteractive;11/02/2021 17:49;DOCUMENT;BEL;0;Belgium
Approved;SuspiciousDocument;2021-03-02 16:12:02.800;1.0;NonInteractive;02/03/2021 16:09;DOCUMENT;UKR;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:38:01.413;1.0;;13/11/2020 13:24;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:40:26.743;1.0;;20/11/2020 10:48;PROFILE_API_TEST;;0;
Approved;;2020-08-05 11:48:26.850;;;05/08/2020 11:46;DOCUMENT;UKR;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:56:55.230;1.0;;30/09/2020 08:17;DOCUMENT;DEU;0;Germany
Rejected;RejectedDueToInactivityTimeout;2021-02-16 10:35:00.647;1.0;Interactive;16/02/2021 10:18;DOCUMENT;CZE;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:51:44.780;1.0;NonInteractive;09/12/2020 12:23;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:57:52.067;1.0;;02/10/2020 05:29;DOCUMENT;BEL;0;India
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:59:15.820;1.0;;06/10/2020 08:28;DOCUMENT;DEU;0;Germany
Rejected;RejectedDueToInactivityTimeout;2021-03-01 13:11:00.837;1.0;NonInteractive;01/03/2021 12:59;PROFILE_API_TEST;;0;
Rejected;ManualReviewFailedReject;2020-12-17 09:05:05.377;1.0;Interactive;17/12/2020 08:59;DOCUMENT;BEL;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:12:59.663;1.0;NonInteractive;07/01/2021 16:05;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-11-12 14:39:22.973;1.0;;12/11/2020 14:37;;;0;
Rejected;UnknownIdentificationMethod;2020-10-06 08:39:47.833;1.0;;06/10/2020 08:38;PROFILE_API_TEST;;0;
Rejected;ManualReviewFailedReject;2020-10-02 11:18:01.277;1.0;;02/10/2020 11:06;DOCUMENT;UKR;1;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:41:24.427;1.0;NonInteractive;24/11/2020 17:04;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-12-10 14:16:11.690;1.0;NonInteractive;10/12/2020 14:15;ITSME;;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:21:49.587;1.0;NonInteractive;19/01/2021 10:52;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:49:27.480;1.0;NonInteractive;07/12/2020 11:16;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2021-01-20 10:24:40.773;1.0;Interactive;20/01/2021 10:24;ITSME;;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-25 16:51:00.947;1.0;Interactive;25/02/2021 16:38;DOCUMENT;BEL;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:48:37.563;1.0;NonInteractive;04/12/2020 13:09;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-12-22 17:00:00.380;1.0;NonInteractive;22/12/2020 16:47;DOCUMENT;ESP;0;Spain
Rejected;UnknownIdentificationMethod;2020-09-14 16:02:10.707;1.0;;14/09/2020 16:01;PROFILE_API_TEST;;0;
Approved;;2020-09-10 08:23:59.197;1.0;;10/09/2020 08:20;DOCUMENT;UKR;0;Ukraine
Approved;IdentityVerificationSucceeded;2021-01-06 14:47:55.047;1.0;Interactive;06/01/2021 14:42;DOCUMENT;UKR;0;Ukraine
Approved;IdentityVerificationSucceeded;2020-10-01 10:03:41.583;1.0;;01/10/2020 10:00;;;0;
Approved;IdentityVerificationSucceeded;2020-12-14 17:01:49.310;1.0;NonInteractive;14/12/2020 17:00;EID;BEL;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:37:27.947;1.0;;12/11/2020 08:51;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-12-17 13:04:38.940;1.0;NonInteractive;17/12/2020 13:03;ITSME;;0;Belgium
Approved;;2020-08-13 09:48:39.733;;;13/08/2020 09:45;DOCUMENT;IND;0;India
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:00:19.050;1.0;NonInteractive;17/12/2020 09:47;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-12-14 19:22:13.167;1.0;NonInteractive;14/12/2020 19:21;EID;BEL;0;Belgium
Approved;IdentityVerificationSucceeded;2020-12-10 17:47:32.843;1.0;Interactive;10/12/2020 17:46;ITSME;;0;Belgium
Rejected;UnknownIdentificationMethod;2020-09-30 14:49:00.857;1.0;;30/09/2020 14:48;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:30:39.993;1.0;NonInteractive;29/01/2021 12:36;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:45:45.857;;;18/08/2020 09:21;DOCUMENT;;1;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:38:19.827;1.0;;16/11/2020 09:51;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-10-09 13:02:02.983;1.0;;09/10/2020 12:58;EID;;0;
