app_id,app_status,ipRange,ipHop,timeSubmitSec,browser,package,inList,inCust,weekDay,appHour,score
60,valid,18461.0,0.0,17.0,0.0,6.0,0.0,1,5.0,10.0,0
61,valid,12307.0,1.0,20.0,0.0,0.0,1.0,1,3.0,9.0,0
62,valid,9230.0,0.0,20.0,0.0,15.0,0.0,1,6.0,14.0,0
63,valid,9230.0,1.0,21.0,0.0,3.0,0.0,0,3.0,12.0,0
64,valid,0.0,0.0,21.0,0.0,9.0,0.0,1,4.0,14.0,0
65,valid,18461.0,0.0,19.0,0.0,3.0,1.0,1,4.0,12.0,0
66,valid,18461.0,1.0,18.0,0.0,18.0,0.0,0,4.0,9.0,0
67,valid,12307.0,0.0,18.0,4.0,6.0,0.0,0,5.0,9.0,0
68,valid,24615.0,0.0,18.0,2.0,6.0,0.0,0,4.0,11.0,0
69,valid,12307.0,0.0,19.0,3.0,3.0,0.0,1,6.0,10.0,0
70,valid,0.0,1.0,24.0,2.0,0.0,0.0,1,5.0,12.0,0
71,valid,9230.0,1.0,21.0,1.0,0.0,0.0,1,4.0,13.0,0
72,valid,15384.0,0.0,22.0,1.0,6.0,0.0,0,5.0,11.0,0
73,valid,3076.0,0.0,20.0,1.0,0.0,1.0,1,6.0,13.0,0
74,valid,18461.0,1.0,20.0,1.0,0.0,0.0,1,5.0,8.0,0
75,valid,9230.0,0.0,20.0,0.0,6.0,0.0,0,6.0,9.0,0
76,valid,6153.0,0.0,21.0,2.0,3.0,1.0,1,3.0,8.0,0
77,valid,6153.0,0.0,23.0,1.0,0.0,2.0,1,5.0,11.0,0
78,valid,9230.0,0.0,18.0,1.0,0.0,0.0,1,6.0,13.0,0
79,valid,18461.0,1.0,19.0,3.0,0.0,0.0,1,6.0,11.0,0
80,valid,6153.0,0.0,16.0,0.0,9.0,0.0,1,5.0,8.0,0
81,valid,9230.0,0.0,18.0,2.0,3.0,0.0,1,5.0,9.0,0
82,valid,21538.0,0.0,17.0,0.0,0.0,0.0,0,6.0,8.0,0
83,valid,12307.0,1.0,23.0,1.0,12.0,0.0,0,4.0,9.0,0
84,valid,15384.0,0.0,22.0,2.0,0.0,0.0,1,6.0,9.0,0
85,valid,9230.0,0.0,21.0,1.0,9.0,0.0,0,6.0,13.0,0
86,valid,12307.0,0.0,18.0,3.0,6.0,0.0,1,6.0,10.0,0
87,valid,33846.0,1.0,20.0,3.0,6.0,0.0,1,6.0,10.0,0
88,valid,6153.0,2.0,24.0,0.0,0.0,0.0,0,5.0,12.0,0
89,valid,18461.0,0.0,19.0,1.0,12.0,0.0,1,4.0,11.0,0
90,valid,27692.0,0.0,23.0,0.0,0.0,1.0,0,4.0,9.0,0
91,valid,27692.0,0.0,17.0,2.0,6.0,0.0,1,6.0,10.0,0
92,valid,3076.0,0.0,19.0,2.0,9.0,0.0,1,5.0,11.0,0
93,valid,6153.0,0.0,19.0,0.0,0.0,0.0,1,5.0,13.0,0
94,valid,9230.0,0.0,19.0,2.0,0.0,0.0,1,3.0,10.0,0
95,valid,9230.0,1.0,18.0,3.0,6.0,0.0,1,6.0,10.0,0
96,valid,12307.0,0.0,18.0,2.0,6.0,0.0,1,6.0,12.0,0
97,valid,9230.0,1.0,22.0,5.0,6.0,1.0,1,6.0,8.0,0
98,valid,33846.0,1.0,18.0,1.0,12.0,0.0,1,4.0,13.0,0
99,valid,12307.0,1.0,21.0,1.0,6.0,0.0,1,6.0,6.0,0
100,valid,18461.0,0.0,21.0,1.0,3.0,1.0,1,5.0,8.0,0
101,valid,15384.0,1.0,20.0,1.0,15.0,1.0,0,6.0,11.0,0
102,valid,9230.0,0.0,20.0,5.0,15.0,0.0,1,6.0,9.0,0
103,valid,9230.0,0.0,18.0,1.0,6.0,2.0,1,3.0,12.0,0
104,valid,18461.0,0.0,18.0,0.0,9.0,0.0,1,2.0,8.0,0
105,valid,3076.0,1.0,19.0,1.0,0.0,0.0,1,6.0,14.0,0
106,valid,9230.0,0.0,15.0,2.0,3.0,0.0,0,5.0,13.0,0
107,valid,18461.0,0.0,20.0,2.0,0.0,1.0,1,5.0,12.0,0
108,valid,12307.0,0.0,22.0,1.0,3.0,0.0,1,2.0,13.0,0
109,valid,6153.0,0.0,16.0,0.0,18.0,0.0,1,6.0,10.0,0
110,valid,9230.0,0.0,19.0,0.0,9.0,0.0,0,5.0,13.0,0
111,valid,15384.0,0.0,20.0,2.0,0.0,0.0,0,5.0,7.0,0
112,valid,12307.0,0.0,22.0,0.0,0.0,0.0,1,5.0,11.0,0
113,valid,12307.0,0.0,18.0,3.0,3.0,3.0,1,2.0,10.0,0
114,valid,15384.0,1.0,21.0,0.0,0.0,0.0,1,5.0,12.0,0
115,valid,15384.0,1.0,20.0,0.0,3.0,0.0,1,6.0,11.0,0
116,valid,21538.0,1.0,19.0,3.0,3.0,0.0,1,5.0,10.0,0
117,valid,3076.0,0.0,17.0,0.0,0.0,0.0,0,6.0,10.0,0
118,valid,3076.0,0.0,20.0,3.0,6.0,0.0,0,3.0,11.0,0
119,valid,0.0,0.0,17.0,2.0,12.0,0.0,0,6.0,11.0,0
120,valid,21538.0,0.0,20.0,1.0,3.0,1.0,1,5.0,14.0,0
121,valid,9230.0,0.0,20.0,0.0,9.0,0.0,0,6.0,12.0,0
122,valid,9230.0,1.0,19.0,1.0,6.0,0.0,1,6.0,8.0,0
123,valid,15384.0,0.0,21.0,3.0,6.0,0.0,0,6.0,11.0,0
124,valid,9230.0,1.0,18.0,2.0,3.0,0.0,1,5.0,11.0,0
125,valid,9230.0,1.0,18.0,1.0,3.0,1.0,1,6.0,8.0,0
126,valid,6153.0,2.0,18.0,4.0,3.0,0.0,1,5.0,9.0,0
127,valid,18461.0,0.0,19.0,1.0,9.0,0.0,0,6.0,12.0,0
128,valid,24615.0,1.0,23.0,0.0,0.0,0.0,1,6.0,11.0,0
129,valid,12307.0,0.0,18.0,1.0,9.0,0.0,1,4.0,11.0,0
130,valid,9230.0,0.0,19.0,2.0,3.0,0.0,1,6.0,11.0,0
131,valid,15384.0,0.0,16.0,6.0,0.0,0.0,1,5.0,13.0,0
132,valid,18461.0,0.0,21.0,0.0,0.0,0.0,0,6.0,10.0,0
133,valid,3076.0,0.0,16.0,1.0,0.0,0.0,1,6.0,9.0,0
134,valid,6153.0,0.0,19.0,1.0,0.0,0.0,1,3.0,12.0,0
135,valid,27692.0,1.0,22.0,1.0,0.0,0.0,0,6.0,10.0,0
136,valid,18461.0,0.0,16.0,1.0,6.0,0.0,1,6.0,12.0,0
137,valid,12307.0,1.0,21.0,1.0,9.0,0.0,1,6.0,10.0,0
138,valid,21538.0,1.0,18.0,1.0,12.0,0.0,1,6.0,11.0,0
139,valid,12307.0,0.0,19.0,1.0,0.0,0.0,1,6.0,12.0,0
140,valid,15384.0,0.0,17.0,2.0,6.0,0.0,1,6.0,12.0,0
141,valid,6153.0,0.0,18.0,4.0,0.0,1.0,1,3.0,9.0,0
142,valid,9230.0,0.0,21.0,0.0,3.0,0.0,1,5.0,10.0,0
143,valid,12307.0,1.0,18.0,1.0,3.0,0.0,1,4.0,10.0,0
144,valid,6153.0,0.0,21.0,2.0,0.0,0.0,1,5.0,10.0,0
145,valid,0.0,1.0,22.0,0.0,0.0,0.0,1,6.0,15.0,0
146,valid,6153.0,1.0,19.0,1.0,3.0,0.0,1,3.0,11.0,0
147,valid,6153.0,0.0,17.0,3.0,0.0,0.0,1,3.0,13.0,0
148,valid,18461.0,1.0,20.0,0.0,0.0,0.0,1,6.0,9.0,0
149,valid,0.0,0.0,21.0,0.0,3.0,0.0,1,6.0,13.0,0
150,valid,18461.0,0.0,17.0,1.0,6.0,0.0,0,6.0,9.0,0
151,valid,12307.0,0.0,21.0,0.0,3.0,0.0,1,5.0,8.0,0
152,valid,9230.0,0.0,20.0,0.0,3.0,0.0,1,4.0,8.0,0
153,valid,9230.0,2.0,21.0,0.0,3.0,0.0,0,6.0,8.0,0
154,valid,9230.0,0.0,23.0,0.0,0.0,0.0,1,5.0,12.0,0
155,valid,6153.0,0.0,20.0,1.0,6.0,1.0,1,6.0,10.0,0
156,valid,12307.0,0.0,19.0,1.0,12.0,1.0,1,6.0,8.0,0
157,valid,15384.0,0.0,21.0,3.0,21.0,0.0,0,5.0,9.0,0
158,valid,15384.0,0.0,21.0,1.0,0.0,0.0,1,5.0,15.0,0
159,valid,9230.0,0.0,21.0,1.0,6.0,0.0,1,6.0,11.0,0
160,valid,15384.0,0.0,22.0,2.0,12.0,0.0,0,4.0,8.0,0
161,valid,24615.0,0.0,21.0,5.0,6.0,2.0,1,6.0,10.0,0
162,valid,9230.0,0.0,17.0,2.0,3.0,0.0,1,3.0,13.0,0
163,valid,3076.0,0.0,19.0,0.0,0.0,0.0,1,4.0,10.0,0
164,valid,12307.0,0.0,21.0,0.0,6.0,0.0,1,4.0,10.0,0
165,valid,12307.0,1.0,22.0,0.0,6.0,0.0,1,6.0,10.0,0
166,valid,18461.0,1.0,20.0,4.0,0.0,3.0,0,6.0,9.0,0
167,valid,12307.0,1.0,20.0,3.0,9.0,0.0,1,6.0,9.0,0
168,valid,15384.0,0.0,20.0,0.0,3.0,0.0,0,3.0,12.0,0
169,valid,18461.0,0.0,18.0,0.0,3.0,0.0,1,6.0,11.0,0
170,valid,6153.0,0.0,21.0,1.0,0.0,3.0,1,5.0,7.0,0
171,valid,12307.0,0.0,24.0,0.0,0.0,0.0,1,6.0,12.0,0
172,valid,9230.0,0.0,17.0,3.0,0.0,1.0,1,4.0,9.0,0
173,valid,18461.0,0.0,23.0,0.0,3.0,0.0,1,4.0,9.0,0
174,valid,18461.0,1.0,19.0,0.0,9.0,0.0,1,6.0,9.0,0
175,valid,21538.0,0.0,22.0,2.0,3.0,0.0,1,5.0,10.0,0
176,valid,21538.0,0.0,19.0,0.0,6.0,0.0,1,4.0,9.0,0
177,valid,15384.0,2.0,21.0,1.0,3.0,0.0,0,6.0,10.0,0
178,valid,9230.0,0.0,20.0,1.0,3.0,0.0,1,3.0,14.0,0
179,valid,18461.0,0.0,20.0,0.0,12.0,0.0,1,6.0,8.0,0
180,valid,18461.0,0.0,21.0,0.0,0.0,0.0,1,6.0,12.0,0
181,valid,15384.0,0.0,16.0,2.0,6.0,0.0,0,6.0,10.0,0
182,valid,21538.0,1.0,19.0,1.0,6.0,0.0,1,3.0,9.0,0
183,valid,18461.0,2.0,16.0,2.0,0.0,0.0,1,6.0,7.0,0
184,valid,24615.0,0.0,18.0,2.0,3.0,1.0,1,6.0,13.0,0
185,valid,12307.0,0.0,20.0,0.0,3.0,0.0,0,6.0,13.0,0
186,valid,9230.0,1.0,22.0,2.0,6.0,1.0,1,4.0,8.0,0
187,valid,27692.0,0.0,20.0,0.0,12.0,0.0,1,6.0,10.0,0
188,valid,12307.0,0.0,18.0,2.0,9.0,0.0,1,5.0,9.0,0
189,valid,6153.0,0.0,20.0,1.0,0.0,0.0,0,5.0,12.0,0
190,valid,15384.0,1.0,18.0,3.0,0.0,0.0,0,6.0,12.0,0
191,valid,18461.0,0.0,21.0,2.0,0.0,1.0,1,5.0,10.0,0
192,valid,3076.0,0.0,16.0,0.0,6.0,1.0,1,6.0,9.0,0
193,valid,6153.0,0.0,20.0,0.0,0.0,0.0,0,6.0,10.0,0
194,valid,9230.0,0.0,22.0,1.0,6.0,0.0,0,4.0,13.0,0
195,valid,9230.0,0.0,18.0,2.0,6.0,1.0,1,5.0,9.0,0
196,valid,12307.0,0.0,21.0,2.0,0.0,0.0,0,4.0,8.0,0
197,valid,3076.0,0.0,21.0,1.0,3.0,0.0,0,6.0,12.0,0
198,valid,12307.0,0.0,23.0,2.0,6.0,0.0,1,2.0,9.0,0
199,valid,15384.0,0.0,19.0,2.0,3.0,0.0,1,6.0,11.0,0
200,valid,15384.0,0.0,19.0,2.0,9.0,1.0,0,5.0,8.0,0
201,valid,6153.0,1.0,21.0,1.0,3.0,0.0,1,5.0,8.0,0
202,valid,18461.0,0.0,21.0,5.0,0.0,0.0,1,6.0,9.0,0
203,valid,18461.0,0.0,21.0,0.0,6.0,0.0,0,6.0,11.0,0
204,valid,9230.0,0.0,20.0,1.0,3.0,0.0,1,6.0,11.0,0
205,valid,24615.0,0.0,18.0,1.0,0.0,0.0,0,6.0,10.0,0
206,valid,9230.0,1.0,18.0,1.0,0.0,0.0,1,6.0,11.0,0
207,valid,6153.0,1.0,21.0,2.0,6.0,0.0,0,6.0,10.0,0
208,valid,15384.0,0.0,19.0,1.0,3.0,0.0,1,5.0,9.0,0
209,valid,6153.0,0.0,16.0,1.0,3.0,0.0,1,6.0,10.0,0
210,valid,12307.0,1.0,18.0,1.0,3.0,0.0,1,5.0,12.0,0
211,valid,15384.0,1.0,22.0,1.0,9.0,0.0,1,2.0,9.0,0
212,valid,3076.0,1.0,27.0,1.0,12.0,0.0,1,6.0,13.0,0
213,valid,6153.0,1.0,21.0,0.0,6.0,1.0,1,5.0,9.0,0
214,valid,3076.0,0.0,17.0,1.0,3.0,0.0,0,6.0,9.0,0
215,valid,21538.0,0.0,17.0,1.0,0.0,1.0,0,3.0,12.0,0
216,valid,12307.0,0.0,18.0,0.0,3.0,0.0,1,4.0,14.0,0
217,valid,15384.0,1.0,18.0,3.0,18.0,0.0,1,5.0,10.0,0
218,valid,30769.0,0.0,19.0,0.0,3.0,0.0,0,5.0,8.0,0
219,valid,21538.0,0.0,19.0,1.0,3.0,0.0,1,6.0,9.0,0
220,valid,18461.0,0.0,19.0,0.0,6.0,1.0,0,5.0,10.0,0
221,valid,18461.0,0.0,19.0,4.0,6.0,0.0,1,6.0,12.0,0
222,valid,6153.0,0.0,20.0,3.0,0.0,0.0,1,6.0,8.0,0
223,valid,12307.0,1.0,22.0,1.0,0.0,0.0,1,6.0,8.0,0
224,valid,18461.0,0.0,20.0,0.0,3.0,0.0,0,6.0,10.0,0
225,valid,18461.0,0.0,26.0,0.0,0.0,1.0,0,5.0,10.0,0
226,valid,9230.0,0.0,21.0,3.0,9.0,0.0,0,6.0,4.0,0
227,valid,15384.0,0.0,19.0,1.0,3.0,0.0,0,4.0,8.0,0
228,valid,6153.0,0.0,22.0,4.0,3.0,0.0,0,6.0,13.0,0
229,valid,15384.0,1.0,21.0,3.0,0.0,0.0,1,5.0,7.0,0
230,valid,6153.0,0.0,20.0,0.0,0.0,0.0,1,5.0,10.0,0
231,valid,21538.0,1.0,20.0,1.0,9.0,0.0,1,6.0,8.0,0
232,valid,12307.0,0.0,22.0,2.0,9.0,0.0,1,5.0,11.0,0
233,valid,12307.0,0.0,22.0,2.0,3.0,0.0,1,5.0,6.0,0
234,valid,3076.0,0.0,16.0,2.0,0.0,0.0,0,5.0,14.0,0
235,valid,6153.0,0.0,19.0,1.0,3.0,0.0,0,6.0,7.0,0
236,valid,24615.0,0.0,23.0,3.0,3.0,0.0,1,4.0,12.0,0
237,valid,15384.0,1.0,21.0,0.0,9.0,0.0,1,4.0,10.0,0
238,valid,18461.0,1.0,19.0,1.0,6.0,0.0,1,3.0,12.0,0
239,valid,6153.0,1.0,21.0,1.0,6.0,0.0,1,4.0,8.0,0
240,valid,9230.0,0.0,23.0,2.0,3.0,0.0,1,6.0,11.0,0
241,valid,18461.0,0.0,20.0,0.0,9.0,0.0,1,5.0,9.0,0
242,valid,9230.0,0.0,19.0,3.0,3.0,0.0,1,5.0,11.0,0
243,valid,6153.0,0.0,20.0,1.0,0.0,0.0,1,5.0,10.0,0
244,valid,12307.0,0.0,18.0,0.0,0.0,0.0,1,6.0,16.0,0
245,valid,9230.0,1.0,18.0,0.0,6.0,0.0,1,3.0,14.0,0
246,valid,6153.0,0.0,20.0,1.0,3.0,0.0,1,6.0,12.0,0
247,valid,21538.0,0.0,20.0,1.0,0.0,0.0,1,6.0,8.0,0
248,valid,12307.0,0.0,19.0,0.0,0.0,1.0,1,4.0,11.0,0
249,valid,18461.0,0.0,19.0,5.0,0.0,0.0,0,6.0,12.0,0
250,valid,21538.0,0.0,20.0,1.0,3.0,0.0,1,3.0,10.0,0
251,valid,12307.0,0.0,21.0,1.0,0.0,0.0,0,5.0,8.0,0
252,valid,9230.0,0.0,22.0,2.0,3.0,3.0,1,6.0,14.0,0
253,valid,9230.0,0.0,19.0,0.0,12.0,0.0,1,6.0,7.0,0
254,valid,3076.0,0.0,19.0,1.0,6.0,0.0,1,6.0,8.0,0
255,valid,6153.0,1.0,21.0,1.0,6.0,0.0,0,4.0,11.0,0
256,valid,15384.0,1.0,20.0,1.0,6.0,0.0,1,5.0,12.0,0
257,valid,6153.0,0.0,18.0,0.0,9.0,1.0,0,6.0,8.0,0
258,valid,3076.0,0.0,20.0,1.0,3.0,0.0,1,5.0,9.0,0
259,valid,21538.0,0.0,18.0,2.0,6.0,0.0,1,4.0,12.0,0
260,valid,3076.0,0.0,20.0,1.0,3.0,0.0,1,2.0,9.0,0
261,valid,3076.0,0.0,18.0,2.0,6.0,1.0,1,6.0,13.0,0
262,valid,9230.0,0.0,19.0,1.0,0.0,0.0,0,6.0,8.0,0
263,valid,6153.0,1.0,23.0,3.0,3.0,0.0,1,6.0,11.0,0
264,valid,6153.0,0.0,17.0,0.0,0.0,0.0,0,6.0,13.0,0
265,valid,15384.0,1.0,19.0,1.0,3.0,1.0,0,6.0,14.0,0
266,valid,21538.0,0.0,20.0,1.0,12.0,0.0,0,6.0,11.0,0
267,valid,6153.0,1.0,20.0,2.0,0.0,0.0,1,5.0,11.0,0
268,valid,18461.0,1.0,17.0,1.0,12.0,0.0,0,6.0,12.0,0
269,valid,3076.0,0.0,16.0,4.0,3.0,1.0,1,6.0,7.0,0
270,valid,9230.0,0.0,18.0,0.0,9.0,0.0,1,5.0,12.0,0
271,valid,15384.0,0.0,18.0,1.0,3.0,0.0,1,6.0,12.0,0
272,valid,24615.0,0.0,19.0,0.0,3.0,0.0,1,3.0,9.0,0
273,valid,30769.0,1.0,20.0,0.0,0.0,0.0,1,6.0,9.0,0
274,valid,12307.0,0.0,20.0,0.0,3.0,0.0,1,6.0,11.0,0
275,valid,18461.0,0.0,18.0,0.0,9.0,0.0,1,6.0,12.0,0
276,valid,9230.0,1.0,22.0,1.0,3.0,0.0,1,3.0,11.0,0
277,valid,3076.0,0.0,22.0,4.0,6.0,0.0,1,5.0,8.0,0
278,valid,3076.0,1.0,22.0,6.0,0.0,0.0,1,5.0,9.0,0
279,valid,9230.0,0.0,21.0,3.0,0.0,0.0,1,5.0,9.0,0
280,valid,15384.0,0.0,22.0,3.0,12.0,0.0,0,5.0,13.0,0
281,valid,18461.0,0.0,20.0,2.0,6.0,0.0,1,6.0,12.0,0
282,valid,15384.0,0.0,20.0,1.0,0.0,0.0,1,6.0,11.0,0
283,valid,6153.0,0.0,19.0,1.0,6.0,0.0,1,6.0,6.0,0
284,valid,12307.0,0.0,20.0,1.0,9.0,1.0,1,5.0,7.0,0
285,valid,6153.0,0.0,20.0,2.0,3.0,0.0,1,5.0,12.0,0
286,valid,6153.0,0.0,22.0,4.0,0.0,0.0,0,6.0,10.0,0
287,valid,12307.0,0.0,19.0,2.0,3.0,0.0,0,4.0,11.0,0
288,valid,18461.0,2.0,22.0,2.0,0.0,0.0,1,5.0,6.0,0
289,valid,6153.0,1.0,20.0,1.0,0.0,0.0,1,5.0,11.0,0
290,valid,0.0,0.0,19.0,0.0,12.0,0.0,0,6.0,10.0,0
291,valid,12307.0,1.0,18.0,2.0,6.0,0.0,1,3.0,12.0,0
292,valid,27692.0,0.0,18.0,3.0,0.0,0.0,1,3.0,9.0,0
293,valid,6153.0,1.0,23.0,5.0,6.0,0.0,1,4.0,14.0,0
294,valid,15384.0,0.0,24.0,0.0,9.0,0.0,1,4.0,12.0,0
295,valid,6153.0,1.0,19.0,2.0,3.0,0.0,1,6.0,14.0,0
296,valid,6153.0,0.0,19.0,1.0,6.0,0.0,1,5.0,13.0,0
297,valid,15384.0,0.0,16.0,0.0,6.0,2.0,1,3.0,11.0,0
298,valid,15384.0,0.0,17.0,2.0,0.0,0.0,0,6.0,11.0,0
299,valid,15384.0,0.0,18.0,1.0,9.0,1.0,1,5.0,12.0,0
300,valid,9230.0,1.0,20.0,1.0,3.0,0.0,1,6.0,11.0,0
301,valid,12307.0,0.0,18.0,7.0,3.0,0.0,1,6.0,13.0,0
302,valid,12307.0,0.0,20.0,0.0,0.0,0.0,1,5.0,7.0,0
303,valid,15384.0,0.0,20.0,3.0,0.0,0.0,0,5.0,11.0,0
304,valid,3076.0,1.0,17.0,0.0,0.0,1.0,0,6.0,9.0,0
305,valid,9230.0,1.0,24.0,1.0,3.0,0.0,1,6.0,10.0,0
306,valid,0.0,0.0,17.0,0.0,0.0,0.0,1,5.0,11.0,0
307,valid,12307.0,0.0,21.0,6.0,3.0,0.0,1,0.0,10.0,0
308,valid,15384.0,0.0,21.0,5.0,0.0,0.0,1,6.0,10.0,0
309,valid,9230.0,1.0,19.0,1.0,6.0,0.0,0,5.0,9.0,0
310,valid,21538.0,0.0,18.0,1.0,9.0,1.0,1,5.0,11.0,0
311,valid,3076.0,0.0,18.0,1.0,3.0,0.0,0,6.0,12.0,0
312,valid,6153.0,0.0,22.0,2.0,0.0,0.0,1,6.0,11.0,0
313,valid,9230.0,0.0,17.0,2.0,6.0,0.0,1,6.0,11.0,0
314,valid,24615.0,0.0,21.0,2.0,3.0,0.0,1,6.0,9.0,0
315,valid,9230.0,0.0,18.0,0.0,3.0,0.0,1,6.0,9.0,0
316,valid,6153.0,0.0,22.0,2.0,6.0,0.0,1,6.0,11.0,0
317,valid,18461.0,1.0,22.0,1.0,0.0,1.0,1,6.0,9.0,0
318,valid,15384.0,1.0,20.0,3.0,0.0,0.0,1,4.0,8.0,0
319,valid,15384.0,0.0,20.0,2.0,0.0,0.0,1,5.0,12.0,0
320,valid,15384.0,2.0,21.0,1.0,3.0,1.0,0,5.0,8.0,0
321,valid,18461.0,0.0,21.0,3.0,0.0,0.0,1,4.0,11.0,0
322,valid,9230.0,0.0,19.0,1.0,27.0,0.0,0,6.0,9.0,0
323,valid,18461.0,0.0,20.0,2.0,3.0,0.0,1,6.0,8.0,0
324,valid,24615.0,0.0,20.0,0.0,6.0,0.0,1,5.0,13.0,0
325,valid,15384.0,1.0,19.0,1.0,3.0,1.0,1,5.0,11.0,0
326,valid,12307.0,1.0,20.0,1.0,9.0,0.0,1,3.0,9.0,0
327,valid,0.0,0.0,20.0,0.0,0.0,0.0,0,6.0,13.0,0
328,valid,12307.0,0.0,18.0,2.0,9.0,0.0,0,6.0,10.0,0
329,valid,6153.0,0.0,16.0,1.0,3.0,1.0,0,5.0,10.0,0
330,valid,30769.0,0.0,19.0,1.0,3.0,0.0,1,6.0,10.0,0
