,Unnamed: 0,Company,Customer Number,Account Number,Subscription Number,Phone Number,Product Line,Product Family,Produit,Client,VOICE IN (Min),VOICE OUT (Min),Message,Data
24,24,VOYAGES EMILE WEBER SÀRL,28066634,27441597,6061340,573-621-3877,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,2.4599484686881117,41.10887048764246,109,59.495697393451586
25,25,SLA S.A C/O BUS,23531773,21761607,6041283,278-915-3337x6694,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.32970901416482523,0.6445626694360512,0,158.17139208147907
26,26,SLA S.A C/O BUS,27816514,27441597,3590750,667-883-5380,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,203.34126183824742,1797.8371247126324,38,48.10836271514769
27,27,SALES LENTZ AUTOCARS SA,21024407,21023787,3789032,001-470-648-5849x49150,MOBILE,smart,LUX_SMART_V6_L_PACKAGE,SL,2217.1745169410324,4398.252186949557,969,19.636648486218398
28,28,VOYAGES EMILE WEBER SÀRL,21172480,27441597,5414410,631-510-1621x548,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,1395.322389003111,3605.915528150756,110,0.005726435278427354
29,29,VOYAGES EMILE WEBER SÀRL,21023952,24379794,3979500,+1-981-665-7723x610,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,493.85375741021335,1154.6094966058702,67,1.520467497882106e-08
30,30,VOYAGES EMILE WEBER SÀRL,22516908,27441597,5277937,001-760-263-4773x96184,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,1959.1990992372791,2687.967721928137,425,0.7326737812202805
31,31,SLA S.A C/O BUS,22046618,27441597,800341,778-372-3684x0381,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,729.265211112747,2881.119469582449,655,62.05539858713271
32,32,SLA S.A. C/O CAMIONNETTE,21169434,27441597,5977322,216-223-8576x41757,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,1.5452174032334658,58.66983400329281,25,140.03320283078037
33,33,SLA S.A C/O BUS,28066634,22569201,6126931,329-336-5071x6304,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.03169016107205664,0.004564892458819249,0,163.933730909239
34,34,VOYAGES EMILE WEBER SÀRL,21424069,26927507,5083071,439.232.6585x0916,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,1.028140093467591,167.94042602107453,0,0.00017493526381542665
35,35,SALES-LENTZ AUTOCARS S.A – EXECUTIVE LANE,21023952,26917389,5710968,(583)918-2014x36377,MOBILE,Enterprise,LUX_SMART_V08_L_PACKAGE,SL,4.31139049199234,189.45427827719266,1030,811.0147666242528
36,36,VOYAGES EMILE WEBER SÀRL,28066634,27441597,6126992,001-825-721-6133,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.01666925451574993,0.004379437713158476,18,1569.8656017100554
37,37,SALES LENTZ AUTOCARS SA,21023952,25171383,4559778,+1-703-484-5524x7611,MOBILE,Enterprise,LUX_SMART_V09_L_SIM_ONLY,SL,399.90642381631534,130.40524055712584,1272,1440.835257261827
38,38,AUTOCARS SALES - LENTZ S.A.,28043627,27441597,362444,001-934-216-6470x236,MOBILE,Enterprise,LUX_SMART_V6_L_PACKAGE,SL,1.7571373228615477,64.74405539558235,1,229.67553696393702
39,39,SLA S.A C/O BUS,21023996,23137437,6021949,(870)989-4479,MOBILE,Enterprise,LUX_SMART_V09_L_PACKAGE,SL,2082.7605481214223,485.23691153442275,287,65.73581962798984
40,40,SLA S.A C/O BUS,21023952,21030501,3395365,379-727-2825,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,746.3319476282489,1197.2959570259738,237,103.07027171514713
41,41,SLA S.A C/O BUS,26233990,27441597,5601327,(910)487-7870x4689,MOBILE,Enterprise,LUX_SMART_V08_L_PACKAGE,SL,0.2707855384488731,3.8464652699093267,19,960.3813288130526
42,42,SLA S.A C/O BUS,21023952,26302827,2165122,(611)606-7648x884,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,EW,1847.202406709429,4497.599266955481,112,1.9967075881158064e-05
43,43,SLA S.A C/O BUS,21114916,27441597,5809489,4403228209,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,SL,102.44696628283327,279.8758971594826,17,35.64939049729032
44,44,SALES LENTZ GROUP,21023952,21246922,4836243,(260)758-1765,MOBILE,Enterprise,LUX_POST_TAN_CORPORATE,SL,96.06312995701971,116.17559945467654,1179,1315.3845455829498
45,45,SALES LENTZ AUTOCARS SA,28066634,27441597,6120393,(664)491-2593x737,MOBILE,Enterprise,LUX_SMART_V6_M_PACKAGE,SL,0.7282930888535366,0.12935289809954553,49,2033.3717899071423
46,46,SLA S.A. C/O CAMIONNETTE,28066634,27441597,4860339,993.352.0627x7741,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,296.11392697965215,61.373592123578604,51,26.070773799671848
47,47,SALES LENTZ,27369241,27441597,3753412,+1-262-741-7287x770,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,201.9262521802429,1968.9479787563719,466,11.918756082297994
48,48,VOYAGES EMILE WEBER SÀRL,22617487,21113385,2964719,775-349-4726,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,177.5758526693452,1328.831414949431,302,0.031690208703901525
49,49,SLA S.A. C/O CAMIONNETTE,21023952,21022663,3791850,379.517.5153,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,3120.3446026637175,680.4751622956062,169,12.993861868152656
50,50,VOYAGES EMILE WEBER SÀRL,21026181,26546503,2432067,827-844-8113x9981,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,2460.554268170747,3735.774462000128,80,0.0007683293153691714
51,51,VOYAGES EMILE WEBER SÀRL,21023959,27441597,3124475,+1-564-609-8948x278,MOBILE,Mobile_Internet,LUX_POST_TAN_ENTERPRISE,EW,91.42092654181609,55.350527697548614,7,3.735148984088026e-07
52,52,KEYWI S.A.,21024820,21022651,4609574,001-793-565-6212x659,MOBILE,Enterprise,LUX_MOBILE_ADSL_V6_EU_MEDIUM,SL,110.62982919188131,28.366897157708326,929,80.64547672596409
53,53,SLA S.A C/O BUS,21023952,22444016,3566544,306-434-7610,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,SL,1467.0831224755764,909.4800954367355,201,28.75781411475861
54,54,VOYAGES EMILE WEBER SÀRL,21538102,27441597,5557872,786-250-0750x49660,MOBILE,Mobile_Internet,LUX_POST_TAN_ENTERPRISE,SL,223.69650314734366,377.09199653028566,19,0.001493168779382918
55,55,SALES LENTZ AUTOCARS SA,21023952,21022650,5030772,(548)889-2135,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,1589.9088537088696,2284.5282408394937,805,14.535650762615171
56,56,SLA S.A. C/O CAMIONNETTE,28066634,27441597,5158916,936.927.0529,MOBILE,Enterprise,LUX_SMART_V6_L_SIM_ONLY,SL,186.08154731638064,154.89160832990325,1,0.9140767045198332
57,57,SLA S.A. C/O CAMIONNETTE,27930849,26658381,5369613,001-345-585-1955x5779,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,68.19312920162855,1.7955813361340658,429,0.4086043800516943
58,58,VOYAGES EMILE WEBER SÀRL,28066634,27441597,5893869,001-316-921-2337x226,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,0.12212302462384395,56.85298698742588,16,51.78663633735108
59,59,VOYAGES EMILE WEBER SÀRL,28066634,27431619,5500225,471.810.5720,MOBILE,M2M,LUX_POST_TAN_ENTERPRISE,SL,11.755424086378092,61.42873812061035,5,0.868229183146887
60,60,SLA S.A C/O BUS,21035999,27441597,5518335,001-440-715-6860x6154,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,149.76084516232945,1371.4153146390859,0,1.3250784937220381
61,61,SALES-LENTZ PROBUS,21024098,27306789,5838218,6315598797,MOBILE,Mobile_Internet,LUX_POST_TAN_ENTERPRISE,SL,101.024958536874,585.1969822628722,170,0.7571831259260583
62,62,VOYAGES EMILE WEBER SÀRL,23206727,25237530,2300901,001-645-322-4006x80631,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,EW,764.861099850054,966.1089128320351,174,4.5474872877997425
63,63,SALES LENTZ,28066634,27441597,3855838,351-248-4528x22974,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.019057951423258643,12.801258791827989,0,509.2905192011952
64,64,SALES LENTZ,21023952,27313932,4988851,+1-866-234-8847x6119,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,562.561845858671,1479.6471236102363,561,101.24328488629378
65,65,VOYAGES EMILE WEBER SÀRL,21293113,27441597,6033732,(507)903-0734,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,770.3631141043321,1730.7713027117622,2,1.013028078005411e-06
66,66,SLA S.A C/O BUS,28066634,27441597,5534378,001-945-582-3417x76118,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,34.06608199622995,12.970854601044355,3,49.510175449622814
67,67,AUTOCARS SALES - LENTZ S.A.,21023952,21095329,902894,671.829.1499,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,239.0391949895175,1742.0115447269857,1313,727.4434293491555
68,68,SALES LENTZ AUTOCARS SA,28066634,27441597,6126231,001-837-797-8018,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.01693021042256385,0.024847328515534048,21,1848.0794464808553
69,69,SLA S.A C/O BUS,21023952,22016218,4111673,627.637.3352x09120,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,616.7833269476689,305.8421123673367,438,109.49225864947559
70,70,SLA S.A. C/O CAMIONNETTE,27555691,27433962,5026320,001-580-697-7077,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,4.185746778895647,2.6492796633961535,443,387.37574344492174
71,71,SLA S.A. C/O CAMIONNETTE,27272523,27363239,4853416,+1-442-285-5898x288,MOBILE,Mobile_Internet,LUX_POST_TAN_ENTERPRISE,EW,427.8912169555553,666.7081145183816,0,0.0004180614982159884
72,72,SALES LENTZ GROUP,21024928,21023247,3866421,001-583-749-4552x66671,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,373.63820581561123,815.1279068922663,203,1762.117375868322
73,73,SALES LENTZ AUTOCARS SA,21023986,26738721,5565034,247.758.8351x84178,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,1087.2067157459742,2573.743695692088,1713,1242.5141218724532
74,74,VOYAGES EMILE WEBER SÀRL,21390191,21053254,5048665,001-316-281-0776x578,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,12.602498576441942,22.72388592461289,0,87.62535405036265
75,75,SLA S.A C/O BUS,28066634,27441597,5978990,001-656-512-5426,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.12593095940881832,0.04320618929600602,8,114.18027431609605
76,76,SLA S.A C/O BUS,28066634,21057129,1783598,925.978.1457x6914,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,SL,165.1187846443404,359.3221869271274,86,402.4161492965575
77,77,SLA S.A C/O BUS,21041091,27441597,6090787,+1-479-724-9995x11009,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,2.9028930519497695,9.984477500655231,0,0.2702224660314803
78,78,SLA S.A C/O BUS,21206799,22875639,3552621,525.638.1555,MOBILE,Enterprise,LUX_SMART_V6_M_PACKAGE,SL,308.97962904558045,76.01336013568763,50,0.7370618798939834
79,79,SLA S.A C/O BUS,21023953,21022677,2588292,001-517-392-3914x5171,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,1999.0517176573965,2901.08296776247,10,3.842525838255101e-11
80,80,VOYAGES EMILE WEBER SÀRL,21033124,27441597,6083236,2017409413,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,175.97388545966382,151.90218005159568,2,1.911599256129534e-05
81,81,VOYAGES EMILE WEBER SÀRL,28066634,22610229,5089111,(310)746-1189,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,21.540134981315127,0.835539493777132,153,727.7632386903243
82,82,VOYAGES EMILE WEBER SÀRL,28018149,27441597,6001382,+1-546-417-6369x993,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,98.86410457546964,113.97331962460945,60,0.03428347331127179
83,83,VOYAGES EMILE WEBER SÀRL,28066634,27441597,5803044,8995643110,MOBILE,Enterprise,LUX_SMART_V6_L_PACKAGE,EW,26.284602675355664,138.94480531269397,55,0.013054812170893736
84,84,FLIB TRAVEL INTERNATIONAL S.A.,28066634,27441597,6004127,001-936-464-6669x06970,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.022209943219754502,0.36772581199747195,192,1783.6496668606103
85,85,SLA S.A C/O BUS,28066634,27441597,5912155,(880)229-6000,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.24555108181739005,1.336312271865101,0,20.840212974091816
86,86,SLA S.A. C/O CAMIONNETTE,21265141,27200252,4847721,514-855-6185x4131,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,97.99209844534661,679.6681959590063,10,3.4978770133102586
87,87,SALES LENTZ AUTOCARS SA,21024443,27396358,759140,607-438-1266x98281,MOBILE,smart,LUX_MOBILE_ADSL_V6_EU_EXTRA_LARGE,SL,67.3967698707393,463.32256659632964,433,2092.0963852731747
88,88,SLA S.A. C/O CAMIONNETTE,21023952,21032126,6079533,001-882-503-9153x4457,MOBILE,Enterprise,LUX_MOBILE_ADSL_V6_EU_DOUBLE_EXTRA_LARGE,SL,31.504720671646016,5.428129603502479,445,566.3523429237453
89,89,SALES LENTZ,21189910,21202205,4933444,5709487168,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,190.62539998141773,431.42547372935536,297,0.8991663753864843
90,90,AUTOCARS ZENNERS S.A.R.L,21665014,27441597,6061288,5556506553,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.018040585923506405,0.8457874620606902,141,318.62021205997894
91,91,VOYAGES EMILE WEBER SÀRL,26035860,27441597,4872338,565.327.6249,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,1213.8779697449088,1074.1963616108758,1,0.5165358652093802
92,92,VOYAGES EMILE WEBER SÀRL,21023998,27441597,6036291,693.794.6188x51083,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,EW,169.06663490617896,1422.7248955145594,4,1.9441158684710298
93,93,SLA S.A. C/O CAMIONNETTE,28062675,25251064,5562983,001-828-915-0614,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,513.5809035469307,35.72532233515049,149,234.87463307373582
94,94,AUTOCARS SALES - LENTZ S.A.,27069963,27441597,6035388,8727850115,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.023007166252377118,0.6075639330165339,1,1234.6274933754064
95,95,SLA S.A C/O BUS,22215624,27427657,5917502,2522428726,MOBILE,Enterprise,LUX_MOBILE_ADSL_V6_EU_EXTRA_LARGE,SL,27.761630512523844,190.37740868817073,127,86.97151432172237
96,96,SLA S.A C/O BUS,21768485,21424058,4106430,554.530.0980,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,1049.4478959352468,86.90775553652523,147,0.5748329295528245
97,97,SLA S.A C/O BUS,21053168,25025428,4980399,001-955-815-8762x324,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,126.4396544290213,294.8185123556125,437,30.531028095786514
98,98,SLA S.A. C/O CAMIONNETTE,21065802,25885797,3870693,515.882.1670,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,224.1470331820303,30.28998264928351,7,0.1707361714687961
99,99,VOYAGES EMILE WEBER SÀRL,27384089,27441597,6064920,412.818.2572x937,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,28.106003518269702,557.7243941834213,155,36.96652455382574
100,100,SALES LENTZ AUTOCARS SA,25593594,27245186,5847325,(945)409-1978x769,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,44.22650027351578,111.02886580445232,655,11.921818617526949
101,101,SALES LENTZ,27655008,21116930,2646623,272.829.3668x8184,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,SL,333.73528285940233,519.8875304623787,76,0.20530308893064533
102,102,SLA S.A C/O BUS,21023952,27441597,4842113,(940)802-9751,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,EW,624.504678833034,2427.34892070353,30,1.2445042448898158
103,103,VOYAGES EMILE WEBER SÀRL,21024238,27441597,5386480,391-268-3367x45279,MOBILE,Mobile_Internet,LUX_POST_TAN_ENTERPRISE,SL,117.85176416277527,35.01535102297785,367,69.75827698013123
104,104,SALES LENTZ AUTOCARS SA,28035895,27441597,5976501,3483307106,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.021909831267972944,0.011256250113171381,0,586.6067758996655
105,105,SLA S.A C/O BUS,28033095,27441597,5607316,001-430-724-2057,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,SL,5.956654272687636,38.11836716138249,102,344.1686192852738
106,106,SLA S.A C/O BUS,21023952,21022660,2258633,218.811.3829x7074,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,608.0079389047982,1610.655807624109,526,70.02449492484327
107,107,SLA S.A C/O BUS,28066634,27441597,6107673,538.513.8561x3556,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,81.96911353140787,39.80486542614881,61,843.5087348855232
108,108,VOYAGES EMILE WEBER SÀRL,21080999,27420069,4895813,(444)496-8750x183,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,73.27296759836081,59.98863039098926,16,1.2465416768429423
109,109,SLA S.A C/O BUS,21359281,27441494,4519717,788-634-9264,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,28.55654908844424,612.211257948746,19,38.925178440517506
110,110,VOYAGES EMILE WEBER SÀRL,28066634,27441597,6124439,598.815.7439x48633,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,36.64113781816668,3.8421080208744756,0,2.284007019064912
111,111,SLA S.A. C/O CAMIONNETTE,28066634,27441159,2674872,5443296413,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,237.9951218580295,82.18852678583099,0,31.619816960069407
112,112,SLA S.A C/O BUS,21023954,24214397,2886813,3856521129,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,1160.0843221181426,2120.976120031431,654,21.385097133397085
113,113,SLA S.A C/O BUS,21023952,25638143,5321987,(726)318-7213,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,254.5887037217666,812.5329695376028,35,0.005459947403886456
114,114,SALES LENTZ AUTOCARS SA,21023973,21963977,5593298,961.626.7285x3346,MOBILE,Enterprise,LUX_SMART_V6_XL_PACKAGE,SL,2912.4408870470716,6627.8661985001,1648,4.298398842399236
115,115,SLA S.A C/O BUS,21023952,27016535,550567,001-601-355-9986x5986,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,2936.3664210570196,3336.703455680225,3062,11.312436985464867
116,116,VOYAGES EMILE WEBER SÀRL,21024555,26358852,4276776,933.625.5027x9767,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,EW,2291.869058214846,4868.244033612118,11,0.042610194744420286
117,117,SALES-LENTZ AUTOCARS S.A – EXECUTIVE LANE,21026578,27441597,4518944,968.718.3315x230,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,14.201107951608257,381.3116740361856,190,246.90396373412915
118,118,SALES-LENTZ PROBUS,28064871,27441597,6092858,001-806-898-9871x182,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,6.776508165350679,0.012282417113613447,75,789.2910128203079
119,119,SALES LENTZ AUTOCARS SA,21023952,26698119,4050456,708.456.9422x56721,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,32.802550765488434,56.62081519798869,0,183.7330784142216
120,120,SLA S.A. C/O CAMIONNETTE,28066634,26939976,6125527,(913)912-9671,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.22719308510689423,0.08681981075521215,49,902.2057995613347
121,121,SLA S.A C/O BUS,28066634,27429566,4027743,001-938-348-0892x69557,MOBILE,Enterprise,LUX_SMART_V09_L_PACKAGE,SL,229.94506259589957,1844.496985883068,748,19.8464459986073
122,122,SLA S.A C/O BUS,21058733,27242248,5804328,001-852-338-8627,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,1746.294221796183,3080.3498868242937,16,6.342219885045537e-09
123,123,SLA S.A. C/O CAMIONNETTE,21023952,22232847,671672,280-964-8871x3299,MOBILE,smart,LUX_SMART_V6_XL_PACKAGE,EW,1475.3531097125583,689.7018316138128,65,9.890032525243976
124,124,SALES LENTZ,28037131,22001794,6124230,593.587.1357x84779,MOBILE,Enterprise,LUX_SMART_V08_L_PACKAGE,SL,41.495761818331715,89.07427585938885,3,154.9200122085563
125,125,SALES LENTZ AUTOCARS SA,27436842,27076305,1406965,(892)628-3628x6201,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,133.5107904830449,1589.1421686930037,0,6.794179221191422e-07
126,126,SALES LENTZ AUTOCARS SA,21024022,27441597,1130347,+1-324-327-6347x090,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,SL,386.75301944108264,3473.914504283056,211,51.9492824744227
127,127,VOYAGES EMILE WEBER SÀRL,21023952,21093678,3649768,(496)971-2831x8853,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,2606.1219851040014,1750.4487168132148,201,4.0525128721574135e-08
128,128,SLA S.A. C/O CAMIONNETTE,27863941,22402184,5553647,+1-375-540-8901x185,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,4.305333467372616,14.590189612054793,0,0.01596848776998715
129,129,SLA S.A C/O BUS,24647597,27441597,3926835,001-343-652-7598,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,1288.9986758690422,4428.309871058852,568,324.5497921049779
130,130,SALES-LENTZ AUTOCARS SA  - MOBILITÉ,21023952,21091790,4478262,276-284-4901x90601,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,SL,1075.1215004717262,1271.0409548754806,889,6.174820228526499
